epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.29404,1.77184,4.8228,1.3979,0.51235,1,0.995,0.597,1.84817,4.39794,1.19778,6.668e-05,6.668e-05,6.668e-05
2,3.90725,1.83452,4.70561,1.3311,0.65357,1,0.91167,0.48087,1.95408,4.67161,1.24425,0.000148545,0.000148545,0.000148545
3,5.47382,1.73031,4.61118,1.27467,0.80396,0.75,0.91167,0.40302,1.96343,3.71713,1.24525,0.000228759,0.000228759,0.000228759
4,7.00308,1.83383,4.57751,1.30383,0.88321,0.9451,0.995,0.42388,2.0202,4.13781,1.2611,0.000307323,0.000307323,0.000307323
5,8.53229,1.67243,4.2492,1.33451,0.80805,0.5,0.91167,0.46224,2.07186,7.88155,1.27067,0.000384237,0.000384237,0.000384237
6,10.1022,1.6745,4.51466,1.23227,0.9931,0.5,0.995,0.44928,2.01548,8.05545,1.24831,0.0004595,0.0004595,0.0004595
7,11.6259,1.65055,4.06402,1.22011,0.76337,0.5,0.995,0.52253,1.77513,5.83916,1.14632,0.000533113,0.000533113,0.000533113
8,13.131,1.68621,4.08635,1.27512,0.7686,0.93433,0.995,0.47323,1.78687,4.7437,1.1719,0.000605076,0.000605076,0.000605076
9,14.647,1.72803,3.67553,1.2205,0.74404,1,0.995,0.41126,1.8649,5.14589,1.20194,0.000675388,0.000675388,0.000675388
10,16.1599,1.6228,3.87471,1.25803,0.85633,0.5,0.995,0.4737,2.03774,6.13413,1.25988,0.00074405,0.00074405,0.00074405
11,17.6788,1.66165,3.81089,1.27066,0.85838,0.5,0.995,0.45447,2.03756,6.39168,1.24255,0.000811062,0.000811062,0.000811062
12,19.2062,1.58309,3.73033,1.28385,0.89532,1,0.995,0.52245,1.93863,3.56815,1.13777,0.000876424,0.000876424,0.000876424
13,20.7485,1.48925,3.46456,1.19391,0.8871,0.97514,0.995,0.52257,1.97135,3.52035,1.16399,0.000940135,0.000940135,0.000940135
14,22.3676,1.56575,3.58543,1.20352,0.8871,0.97514,0.995,0.52257,1.97135,3.52035,1.16399,0.0010022,0.0010022,0.0010022
15,23.9525,1.38696,3.57287,1.13608,0.81487,0.97901,0.995,0.52243,1.89511,3.46888,1.1073,0.00106261,0.00106261,0.00106261
16,25.5452,1.66909,3.62513,1.19478,0.92328,0.96066,0.995,0.5971,1.80797,2.95168,1.07297,0.00112137,0.00112137,0.00112137
17,27.1533,1.62536,3.62508,1.21872,0.90913,0.99049,0.995,0.67225,1.5644,2.90275,1.00568,0.00117848,0.00117848,0.00117848
18,28.6956,1.45316,3.22798,1.14647,0.90913,0.99049,0.995,0.67225,1.5644,2.90275,1.00568,0.00123394,0.00123394,0.00123394
19,30.2304,1.57474,3.32065,1.23257,0.84356,1,0.995,0.63036,1.83972,4.321,1.09004,0.00128774,0.00128774,0.00128774
20,31.7508,1.65842,3.47046,1.17506,0.88159,0.98222,0.995,0.62915,1.91712,4.012,1.12385,0.0013399,0.0013399,0.0013399
21,33.3018,1.52663,3.15615,1.18106,0.88159,0.98222,0.995,0.62915,1.91712,4.012,1.12385,0.00133693,0.00133693,0.00133693
22,34.8364,1.63011,3.23281,1.25789,0.9347,0.97661,0.995,0.67614,1.47049,2.94822,0.96778,0.00132043,0.00132043,0.00132043
23,36.4258,1.55882,3.32501,1.21009,0.94468,1,0.995,0.77141,1.09477,2.72113,0.89288,0.00130393,0.00130393,0.00130393
24,37.9713,1.52644,3.34507,1.13603,0.94468,1,0.995,0.77141,1.09477,2.72113,0.89288,0.00128742,0.00128742,0.00128742
25,39.5174,1.5268,3.06068,1.1999,0.86081,0.99282,0.995,0.69687,1.11608,3.26944,0.8754,0.00127092,0.00127092,0.00127092
26,41.0558,1.55742,3.05366,1.23332,0.86081,0.99282,0.995,0.69687,1.11608,3.26944,0.8754,0.00125442,0.00125442,0.00125442
27,42.5961,1.56941,2.97376,1.23575,0.84725,0.99684,0.995,0.64675,1.23415,3.75482,0.91098,0.00123791,0.00123791,0.00123791
28,44.1451,1.50604,2.99863,1.2379,0.88185,1,0.995,0.597,1.42392,3.32676,0.96707,0.00122141,0.00122141,0.00122141
29,45.6905,1.37945,2.9348,1.16058,0.88185,1,0.995,0.597,1.42392,3.32676,0.96707,0.00120491,0.00120491,0.00120491
30,47.208,1.38479,2.77234,1.14634,0.88247,0.98281,0.995,0.57373,1.46709,3.47311,0.97845,0.0011884,0.0011884,0.0011884
31,48.7424,1.36516,2.78121,1.14586,0.91406,1,0.995,0.64675,1.47156,2.65969,0.97253,0.0011719,0.0011719,0.0011719
32,50.2776,1.32704,2.80401,1.12765,0.91406,1,0.995,0.64675,1.47156,2.65969,0.97253,0.0011554,0.0011554,0.0011554
33,51.8134,1.34288,2.67496,1.07168,0.94582,1,0.995,0.64675,1.39381,2.2259,0.95531,0.00113889,0.00113889,0.00113889
34,53.3437,1.34455,2.62691,1.08772,0.94582,1,0.995,0.64675,1.39381,2.2259,0.95531,0.00112239,0.00112239,0.00112239
35,54.8819,1.3303,2.54474,1.06334,0.95841,1,0.995,0.62228,1.48313,2.87343,0.9603,0.00110589,0.00110589,0.00110589
36,56.4407,1.28334,2.75392,1.06528,0.94613,1,0.995,0.52235,1.91083,4.04728,1.08386,0.00108938,0.00108938,0.00108938
37,58.004,1.27643,2.54629,1.05221,0.94613,1,0.995,0.52235,1.91083,4.04728,1.08386,0.00107288,0.00107288,0.00107288
38,59.6811,1.26111,2.44777,1.07951,0.93779,1,0.995,0.4975,2.05437,3.82557,1.15677,0.00105638,0.00105638,0.00105638
39,61.3355,1.30959,2.38557,1.06305,0.93654,1,0.995,0.597,1.61567,2.97194,0.95961,0.00103987,0.00103987,0.00103987
40,62.9371,1.16705,2.40876,1.02423,0.93654,1,0.995,0.597,1.61567,2.97194,0.95961,0.00102337,0.00102337,0.00102337
41,64.4832,1.18794,2.4016,1.04391,0.96089,1,0.995,0.6596,1.22693,1.89954,0.89321,0.00100687,0.00100687,0.00100687
42,66.0426,1.29983,2.36755,1.05846,0.96089,1,0.995,0.6596,1.22693,1.89954,0.89321,0.000990365,0.000990365,0.000990365
43,67.6442,1.23316,2.25898,1.08629,0.96268,1,0.995,0.6965,1.40617,2.06212,0.93757,0.000973861,0.000973861,0.000973861
44,69.3069,1.27755,2.32777,1.06599,0.96333,1,0.995,0.63705,1.45236,1.83759,0.98585,0.000957358,0.000957358,0.000957358
45,70.9396,1.20062,2.29186,1.03035,0.96333,1,0.995,0.63705,1.45236,1.83759,0.98585,0.000940855,0.000940855,0.000940855
46,72.5663,1.26437,2.44093,1.05649,0.96385,1,0.995,0.63431,1.54979,1.97333,1.02145,0.000924352,0.000924352,0.000924352
47,74.17,1.29843,2.30561,1.08302,0.95248,1,0.995,0.65983,1.39255,1.99859,0.95583,0.000907848,0.000907848,0.000907848
48,75.7522,1.25523,2.18221,1.06239,0.95248,1,0.995,0.65983,1.39255,1.99859,0.95583,0.000891345,0.000891345,0.000891345
49,77.3013,1.29188,2.26755,1.04811,0.94498,1,0.995,0.74625,1.17556,2.00089,0.88977,0.000874842,0.000874842,0.000874842
50,78.849,1.22373,2.10395,1.04589,0.94498,1,0.995,0.74625,1.17556,2.00089,0.88977,0.000858338,0.000858338,0.000858338
51,80.4128,1.17628,2.14088,1.04493,0.93286,1,0.995,0.6965,1.38997,2.12857,1.01423,0.000841835,0.000841835,0.000841835
52,81.9854,1.35157,2.4141,1.08725,0.92411,1,0.995,0.67241,1.66678,2.07837,1.15456,0.000825332,0.000825332,0.000825332
53,83.5692,1.27425,2.24717,1.09283,0.92411,1,0.995,0.67241,1.66678,2.07837,1.15456,0.000808828,0.000808828,0.000808828
