epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.70303,3.18146,17.146,2.40185,0.04494,0.05556,0.03156,0.00828,2.96097,17.2871,2.2158,0.00021671,0.00021671,0.00021671
2,8.88868,2.64572,14.1667,1.86426,0.20035,0.2549,0.15689,0.05193,2.63325,12.9689,1.84413,0.000447119,0.000447119,0.000447119
3,13.0229,2.47672,12.1417,1.69908,0.25888,0.41912,0.2093,0.0687,2.48588,15.3424,1.79841,0.000674448,0.000674448,0.000674448
4,17.1552,2.33747,10.7219,1.61594,0.3304,0.29167,0.2521,0.07779,2.44549,17.0442,1.74361,0.000898696,0.000898696,0.000898696
5,21.3031,2.33177,10.1185,1.61787,0.33156,0.45176,0.26701,0.09294,2.43087,13.1931,1.67373,0.00111986,0.00111986,0.00111986
6,25.4236,2.25345,9.88924,1.50509,0.34906,0.45388,0.3212,0.11003,2.35236,10.5203,1.56483,0.00133795,0.00133795,0.00133795
7,29.5131,2.25198,9.1049,1.51871,0.52967,0.26389,0.31917,0.11626,2.32364,10.994,1.57219,0.00155296,0.00155296,0.00155296
8,33.6375,2.22784,8.76644,1.53916,0.2953,0.35458,0.23231,0.08189,2.37476,11.2939,1.62426,0.00158998,0.00158998,0.00158998
9,37.8143,2.20932,8.43633,1.52268,0.31405,0.30719,0.256,0.09227,2.28758,10.3703,1.53099,0.00157898,0.00157898,0.00157898
10,41.921,2.13377,8.37546,1.47073,0.29303,0.40931,0.30629,0.10153,2.25379,9.88429,1.55566,0.00156798,0.00156798,0.00156798
11,46.0167,2.13774,7.76143,1.44673,0.31943,0.29493,0.22871,0.07864,2.33223,10.4254,1.67149,0.00155698,0.00155698,0.00155698
12,50.108,2.15936,7.75599,1.51002,0.41072,0.18195,0.22977,0.073,2.45017,12.2537,1.70501,0.00154598,0.00154598,0.00154598
13,54.2315,2.11503,7.37199,1.46501,0.42634,0.45098,0.45702,0.16161,2.19037,8.38724,1.50488,0.00153497,0.00153497,0.00153497
14,58.3385,2.14956,7.2768,1.4382,0.5232,0.32843,0.35006,0.11693,2.44024,8.97503,1.68319,0.00152397,0.00152397,0.00152397
15,62.4408,2.15675,6.93105,1.44716,0.44872,0.41418,0.33952,0.10548,2.35249,8.61049,1.53019,0.00151297,0.00151297,0.00151297
16,66.5986,2.08267,6.91524,1.45046,0.24369,0.23529,0.25061,0.08067,2.44487,8.61173,1.64688,0.00150197,0.00150197,0.00150197
17,70.752,2.06543,6.69975,1.38606,0.54988,0.3799,0.44434,0.15877,2.19033,7.60175,1.43391,0.00149096,0.00149096,0.00149096
18,74.8647,2.02659,6.3448,1.38685,0.35671,0.46034,0.3949,0.13694,2.2,7.94602,1.44283,0.00147996,0.00147996,0.00147996
19,78.9369,1.9934,6.29622,1.38474,0.34784,0.51552,0.39488,0.13734,2.20918,7.70091,1.4308,0.00146896,0.00146896,0.00146896
20,83.0241,1.96787,5.95359,1.36099,0.80286,0.30882,0.38395,0.1318,2.24486,7.16117,1.43221,0.00145796,0.00145796,0.00145796
21,87.1036,1.94092,5.80538,1.36725,0.41628,0.37856,0.36087,0.12164,2.23747,7.23408,1.47611,0.00144696,0.00144696,0.00144696
22,91.2003,1.93982,6.04066,1.36989,0.32523,0.36111,0.25995,0.09645,2.38615,7.32763,1.57707,0.00143595,0.00143595,0.00143595
23,95.3098,1.96181,6.02938,1.35081,0.39021,0.48518,0.35065,0.11332,2.37157,7.14365,1.52369,0.00142495,0.00142495,0.00142495
24,99.4928,1.989,5.70794,1.37646,0.47492,0.58824,0.4761,0.16241,2.34051,6.61424,1.50914,0.00141395,0.00141395,0.00141395
25,103.767,1.95609,5.51634,1.3507,0.65014,0.43709,0.54137,0.17905,2.22015,6.30374,1.46035,0.00140295,0.00140295,0.00140295
26,107.986,1.89546,5.29627,1.3418,0.45841,0.58132,0.46021,0.1716,2.17196,6.35069,1.44363,0.00139195,0.00139195,0.00139195
27,112.08,1.87554,5.00996,1.34106,0.47055,0.48366,0.44651,0.15937,2.23155,6.61583,1.4759,0.00138094,0.00138094,0.00138094
28,116.206,1.91086,5.05825,1.34314,0.55535,0.52778,0.5013,0.19446,2.18634,5.92136,1.43934,0.00136994,0.00136994,0.00136994
29,120.311,1.92196,5.01614,1.3421,0.52294,0.61424,0.49721,0.17466,2.28872,6.04128,1.49557,0.00135894,0.00135894,0.00135894
30,124.406,1.89488,4.94772,1.33741,0.58102,0.52728,0.5271,0.1747,2.16251,5.94141,1.4461,0.00134794,0.00134794,0.00134794
31,128.554,1.88104,5.1822,1.33104,0.48664,0.46497,0.43147,0.14974,2.20554,6.27147,1.51115,0.00133693,0.00133693,0.00133693
32,132.84,1.90868,5.11373,1.35529,0.54167,0.41874,0.45224,0.14282,2.18544,6.20041,1.47279,0.00132593,0.00132593,0.00132593
33,137.039,1.88244,4.85132,1.34466,0.45839,0.54085,0.44351,0.13835,2.32749,6.38876,1.53936,0.00131493,0.00131493,0.00131493
34,141.211,1.8727,4.78042,1.3089,0.59459,0.63807,0.62269,0.20832,2.22515,5.64634,1.45604,0.00130393,0.00130393,0.00130393
35,145.435,1.91278,4.68478,1.36521,0.61312,0.65426,0.6307,0.21278,2.10505,5.37517,1.41545,0.00129293,0.00129293,0.00129293
36,149.704,1.85649,4.63347,1.32671,0.61508,0.55443,0.58708,0.2211,2.04397,5.37183,1.37544,0.00128192,0.00128192,0.00128192
