epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.2738,2.54649,7.29347,1.39261,0.31503,0.30585,0.23788,0.07744,2.54872,7.03486,1.30096,0.000324561,0.000324561,0.000324561
2,110.491,2.38456,5.90138,1.29202,0.37146,0.40812,0.32211,0.10408,2.53597,6.24498,1.26586,0.000654638,0.000654638,0.000654638
3,144.722,2.36399,5.55102,1.26141,0.28914,0.41645,0.27123,0.07932,2.63371,6.71251,1.32732,0.000981415,0.000981415,0.000981415
4,179.538,2.34617,5.56847,1.24464,0.54594,0.32666,0.36325,0.13394,2.59441,6.61413,1.30695,0.00098515,0.00098515,0.00098515
5,213.832,2.34103,5.45593,1.23636,0.32223,0.41084,0.34567,0.11807,2.56424,6.28167,1.28977,0.0009802,0.0009802,0.0009802
6,246.969,2.27894,5.24814,1.21067,0.35558,0.46961,0.37504,0.14017,2.57286,6.36416,1.28036,0.00097525,0.00097525,0.00097525
7,281.429,2.32709,5.57489,1.22259,0.42972,0.43478,0.37987,0.13986,2.51866,6.4367,1.26172,0.0009703,0.0009703,0.0009703
8,315.323,2.26832,5.18244,1.21156,0.49188,0.43695,0.4328,0.15434,2.57712,6.48542,1.26973,0.00096535,0.00096535,0.00096535
9,347.889,2.25676,5.17512,1.21692,0.38285,0.42661,0.37555,0.13851,2.74053,6.82317,1.3854,0.0009604,0.0009604,0.0009604
10,380.511,2.28283,5.27469,1.20672,0.53888,0.38058,0.4136,0.16538,2.56393,6.21137,1.26916,0.00095545,0.00095545,0.00095545
11,413.586,2.23616,5.13337,1.21666,0.47349,0.39797,0.39387,0.15626,2.6694,6.35857,1.31341,0.0009505,0.0009505,0.0009505
12,445.55,2.22854,5.02956,1.21041,0.38766,0.46709,0.35162,0.13417,2.69623,8.5786,1.33492,0.00094555,0.00094555,0.00094555
13,481.383,2.24532,4.98815,1.19008,0.38907,0.49869,0.43371,0.16627,2.53394,6.01199,1.28304,0.0009406,0.0009406,0.0009406
14,516.808,2.19389,4.98793,1.19752,0.41562,0.52194,0.41166,0.17375,2.51336,6.06438,1.25743,0.00093565,0.00093565,0.00093565
15,549.138,2.2211,4.90036,1.19984,0.42913,0.48831,0.38429,0.15182,2.46747,6.23508,1.25012,0.0009307,0.0009307,0.0009307
16,582.844,2.20342,4.82982,1.19105,0.56292,0.44946,0.4312,0.17071,2.56702,6.54041,1.29274,0.00092575,0.00092575,0.00092575
17,617.821,2.21993,5.00903,1.18145,0.45396,0.45823,0.41998,0.17501,2.46165,5.89853,1.25354,0.0009208,0.0009208,0.0009208
18,651.39,2.20769,4.82373,1.19225,0.52006,0.50648,0.46048,0.18301,2.57559,5.90704,1.28838,0.00091585,0.00091585,0.00091585
19,685.194,2.17444,4.67694,1.17198,0.48375,0.46729,0.43597,0.16731,2.56727,6.20803,1.28414,0.0009109,0.0009109,0.0009109
20,721.333,2.1712,4.67187,1.18146,0.47015,0.44562,0.39565,0.13909,2.67153,6.31936,1.33609,0.00090595,0.00090595,0.00090595
21,757.355,2.1668,4.66107,1.17666,0.46032,0.39487,0.36778,0.14985,2.70811,6.46353,1.37582,0.000901,0.000901,0.000901
22,791.272,2.16481,4.70377,1.16993,0.45293,0.49455,0.43743,0.19007,2.64611,6.11055,1.30467,0.00089605,0.00089605,0.00089605
23,825.067,2.16517,4.58965,1.16561,0.44046,0.43453,0.36754,0.14215,2.60037,5.98024,1.28966,0.0008911,0.0008911,0.0008911
24,859.736,2.16416,4.54032,1.16167,0.44615,0.46548,0.4334,0.17457,2.60028,6.13618,1.28481,0.00088615,0.00088615,0.00088615
25,894.456,2.16415,4.58883,1.17433,0.44838,0.47382,0.4174,0.16092,2.60605,5.92878,1.29707,0.0008812,0.0008812,0.0008812
26,929.935,2.16065,4.5871,1.16232,0.56978,0.46742,0.48409,0.19259,2.58287,5.83413,1.26999,0.00087625,0.00087625,0.00087625
27,963.64,2.12453,4.52875,1.16163,0.48545,0.47342,0.4584,0.18063,2.53734,5.99432,1.26811,0.0008713,0.0008713,0.0008713
28,998.569,2.14671,4.44873,1.15781,0.40372,0.51424,0.42537,0.18541,2.57325,5.98008,1.26449,0.00086635,0.00086635,0.00086635
29,1034.57,2.16896,4.58389,1.15444,0.61867,0.38231,0.44162,0.17054,2.60551,6.09684,1.28154,0.0008614,0.0008614,0.0008614
30,1070.33,2.12806,4.47496,1.14887,0.50754,0.49135,0.47472,0.17943,2.55854,6.0185,1.25948,0.00085645,0.00085645,0.00085645
31,1105.32,2.11795,4.39271,1.15276,0.5899,0.43319,0.46184,0.17344,2.56749,5.86735,1.27613,0.0008515,0.0008515,0.0008515
32,1140.48,2.12071,4.36816,1.15804,0.50185,0.50305,0.45497,0.19652,2.56944,5.99697,1.27266,0.00084655,0.00084655,0.00084655
33,1176.78,2.11122,4.37118,1.1592,0.57245,0.54457,0.52542,0.21008,2.49056,5.98975,1.24044,0.0008416,0.0008416,0.0008416
34,1212.59,2.09881,4.33668,1.1446,0.51876,0.52401,0.47063,0.18448,2.52879,5.90783,1.2929,0.00083665,0.00083665,0.00083665
35,1247.99,2.08099,4.19159,1.13659,0.47282,0.53423,0.48044,0.19685,2.60304,6.24619,1.29446,0.0008317,0.0008317,0.0008317
36,1283.78,2.07421,4.23374,1.14059,0.43756,0.34399,0.36857,0.13043,2.68656,6.83084,1.39926,0.00082675,0.00082675,0.00082675
37,1318.05,2.08745,4.23769,1.14804,0.53911,0.45479,0.46173,0.19018,2.54345,5.98221,1.26119,0.0008218,0.0008218,0.0008218
38,1349.59,2.09858,4.34047,1.15247,0.59288,0.5193,0.50752,0.21737,2.52508,5.77778,1.25096,0.00081685,0.00081685,0.00081685
39,1380.83,2.07625,4.15111,1.13324,0.52962,0.47016,0.47226,0.18499,2.5871,5.92892,1.28589,0.0008119,0.0008119,0.0008119
40,1412.05,2.10325,4.11391,1.1382,0.59747,0.4603,0.48031,0.17952,2.64499,6.02527,1.30228,0.00080695,0.00080695,0.00080695
41,1447.23,2.08283,4.11435,1.14652,0.55297,0.52169,0.48773,0.20699,2.54577,5.78053,1.27119,0.000802,0.000802,0.000802
42,1479.72,2.05492,4.07498,1.13036,0.51566,0.54503,0.47575,0.19406,2.57712,6.04652,1.28067,0.00079705,0.00079705,0.00079705
43,1512.64,2.09182,4.32687,1.13076,0.48187,0.5603,0.46673,0.19068,2.53123,6.03796,1.25153,0.0007921,0.0007921,0.0007921
44,1545.43,2.06964,4.11879,1.13593,0.50097,0.55076,0.51204,0.20229,2.55657,5.97942,1.27063,0.00078715,0.00078715,0.00078715
45,1578.55,2.09033,4.0868,1.13536,0.42151,0.46077,0.42848,0.16581,2.66544,6.17505,1.30282,0.0007822,0.0007822,0.0007822
46,1610.47,2.05223,4.03477,1.13645,0.49509,0.42235,0.41159,0.18426,2.7004,6.41268,1.33038,0.00077725,0.00077725,0.00077725
47,1642.14,2.06279,3.92781,1.1301,0.499,0.48792,0.47032,0.18878,2.62383,5.99164,1.29066,0.0007723,0.0007723,0.0007723
48,1673.86,2.02306,3.92106,1.11878,0.49967,0.46202,0.45435,0.17266,2.73739,6.19621,1.35113,0.00076735,0.00076735,0.00076735
49,1705.61,2.00874,3.86593,1.10819,0.52691,0.54425,0.49895,0.19296,2.60528,5.84267,1.28111,0.0007624,0.0007624,0.0007624
50,1737.57,2.0498,3.8788,1.10559,0.51268,0.54475,0.5135,0.21467,2.58805,5.86558,1.29847,0.00075745,0.00075745,0.00075745
51,1769.28,2.03331,3.88568,1.12554,0.55402,0.56511,0.50151,0.20873,2.52106,5.85296,1.23834,0.0007525,0.0007525,0.0007525
52,1801.4,2.0224,3.90719,1.09522,0.62163,0.43637,0.46489,0.18728,2.69449,6.18496,1.34216,0.00074755,0.00074755,0.00074755
53,1836.91,1.9877,3.83441,1.11543,0.63747,0.52389,0.53187,0.22715,2.595,5.79846,1.29224,0.0007426,0.0007426,0.0007426
54,1872.65,1.99528,3.77236,1.10253,0.5697,0.45059,0.45486,0.17781,2.5629,6.13046,1.2694,0.00073765,0.00073765,0.00073765
55,1908.08,1.99994,3.79675,1.09595,0.54785,0.41558,0.37791,0.14983,2.72943,6.6433,1.32403,0.0007327,0.0007327,0.0007327
56,1944.57,2.01461,3.7663,1.09475,0.45192,0.41373,0.40581,0.15816,2.57855,6.23008,1.27096,0.00072775,0.00072775,0.00072775
57,1980.89,1.98384,3.79557,1.10315,0.56278,0.44551,0.47819,0.18971,2.58471,5.92915,1.25532,0.0007228,0.0007228,0.0007228
58,2017.31,1.9966,3.7126,1.09615,0.57627,0.51397,0.48698,0.2132,2.52951,6.00346,1.255,0.00071785,0.00071785,0.00071785
59,2053.83,2.0125,3.73477,1.09397,0.49739,0.58224,0.49446,0.19296,2.65459,6.12776,1.31052,0.0007129,0.0007129,0.0007129
60,2090.42,1.99336,3.71185,1.10137,0.59899,0.51722,0.51002,0.21283,2.66776,6.03632,1.3093,0.00070795,0.00070795,0.00070795
61,2126.92,1.98274,3.68549,1.10042,0.50098,0.5373,0.49131,0.18336,2.6355,6.16215,1.29492,0.000703,0.000703,0.000703
62,2163.19,2.03716,3.69613,1.09478,0.57447,0.49979,0.49827,0.2061,2.63089,6.02208,1.30228,0.00069805,0.00069805,0.00069805
63,2199.56,2.01184,3.6482,1.10017,0.56299,0.4911,0.47911,0.20353,2.67285,6.26476,1.32801,0.0006931,0.0006931,0.0006931
64,2236.23,1.95289,3.60662,1.09184,0.5708,0.42797,0.48217,0.17318,2.63141,6.30565,1.33725,0.00068815,0.00068815,0.00068815
65,2271.26,1.97523,3.73311,1.09365,0.57479,0.53029,0.52112,0.21056,2.54991,5.86942,1.27493,0.0006832,0.0006832,0.0006832
66,2305.57,1.95429,3.60412,1.08526,0.56956,0.4164,0.44463,0.18596,2.67105,6.50672,1.3221,0.00067825,0.00067825,0.00067825
67,2339.56,1.97687,3.59093,1.09393,0.46451,0.43316,0.39271,0.15849,2.83344,6.77852,1.37136,0.0006733,0.0006733,0.0006733
68,2373.76,1.95076,3.56616,1.08837,0.51251,0.48916,0.43088,0.2094,2.63973,5.97963,1.31352,0.00066835,0.00066835,0.00066835
69,2408.14,1.9516,3.48202,1.07252,0.58866,0.52061,0.52247,0.23846,2.58996,6.00006,1.27565,0.0006634,0.0006634,0.0006634
70,2441.84,1.95382,3.49518,1.07983,0.43302,0.50519,0.41181,0.14959,2.61108,5.88353,1.30262,0.00065845,0.00065845,0.00065845
71,2475.69,1.97643,3.5154,1.07296,0.56523,0.48008,0.49186,0.19837,2.65602,6.05946,1.30976,0.0006535,0.0006535,0.0006535
72,2510.05,1.94711,3.53186,1.08826,0.61128,0.47823,0.47207,0.18002,2.72057,6.15188,1.35503,0.00064855,0.00064855,0.00064855
73,2543.88,1.91535,3.43137,1.07658,0.58786,0.44074,0.43397,0.1737,2.67646,6.10668,1.31079,0.0006436,0.0006436,0.0006436
74,2577.94,1.92591,3.46573,1.08074,0.62517,0.46707,0.4673,0.18271,2.69359,6.36783,1.31782,0.00063865,0.00063865,0.00063865
75,2610.97,1.94398,3.49118,1.08965,0.57382,0.52076,0.50406,0.1943,2.68062,6.141,1.32857,0.0006337,0.0006337,0.0006337
