epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.5922,2.95851,23.1631,1.82174,0.53777,0.04937,0.02117,0.00534,2.75395,17.8053,1.70844,0.000329749,0.000329749,0.000329749
2,165.504,2.57776,16.5876,1.69015,0.42763,0.13011,0.0626,0.01872,2.58746,14.2741,1.62353,0.0006598,0.0006598,0.0006598
3,241.133,2.49829,13.8446,1.65178,0.6156,0.13686,0.08409,0.02525,2.56406,12.3951,1.60896,0.000986551,0.000986551,0.000986551
4,317.391,2.44471,12.3212,1.60973,0.43573,0.17445,0.09057,0.02683,2.55757,11.0869,1.61942,0.00098515,0.00098515,0.00098515
5,394.579,2.40143,11.3816,1.57969,0.46504,0.16048,0.0911,0.02724,2.47665,10.8209,1.57346,0.0009802,0.0009802,0.0009802
6,472.035,2.38585,10.5844,1.57775,0.43807,0.18915,0.08117,0.02411,2.47603,10.3729,1.56373,0.00097525,0.00097525,0.00097525
7,549.587,2.36748,9.90097,1.55627,0.45242,0.18241,0.0988,0.02945,2.49709,9.43436,1.56788,0.0009703,0.0009703,0.0009703
8,627.292,2.34277,9.55398,1.55238,0.49675,0.16041,0.10656,0.03198,2.47098,9.01814,1.55911,0.00096535,0.00096535,0.00096535
9,703.689,2.31348,8.70648,1.52685,0.50571,0.18776,0.13477,0.04173,2.43149,8.54703,1.55159,0.0009604,0.0009604,0.0009604
10,780.456,2.30872,8.59007,1.53764,0.56134,0.15603,0.12655,0.03987,2.45778,8.6082,1.53701,0.00095545,0.00095545,0.00095545
11,856.983,2.28585,8.30406,1.52201,0.53548,0.21599,0.18571,0.05791,2.39807,8.00211,1.55257,0.0009505,0.0009505,0.0009505
12,933.569,2.27332,7.94275,1.52492,0.5332,0.217,0.16879,0.05287,2.38355,7.85242,1.54205,0.00094555,0.00094555,0.00094555
13,1010.33,2.26562,7.62781,1.5202,0.52322,0.22637,0.16818,0.05724,2.41261,7.88039,1.57134,0.0009406,0.0009406,0.0009406
14,1086.9,2.2594,7.49303,1.53227,0.18421,0.30777,0.17384,0.05351,2.41026,7.44037,1.54399,0.00093565,0.00093565,0.00093565
15,1163.84,2.24484,7.33028,1.52346,0.15374,0.2855,0.20457,0.06463,2.42291,7.41737,1.57077,0.0009307,0.0009307,0.0009307
16,1240.35,2.22632,7.13795,1.51332,0.22362,0.23849,0.16278,0.05397,2.40118,7.98509,1.5713,0.00092575,0.00092575,0.00092575
17,1316.98,2.23544,7.07626,1.511,0.21048,0.30719,0.17376,0.05384,2.38218,7.88023,1.56944,0.0009208,0.0009208,0.0009208
18,1393.7,2.21854,6.92216,1.51245,0.43906,0.38628,0.32958,0.10633,2.38411,6.8434,1.53626,0.00091585,0.00091585,0.00091585
19,1470.15,2.22753,6.69678,1.51288,0.25474,0.342,0.24069,0.07111,2.39011,7.32378,1.54225,0.0009109,0.0009109,0.0009109
20,1547.27,2.20857,6.57922,1.49277,0.40229,0.30628,0.29653,0.10417,2.38633,6.88037,1.53691,0.00090595,0.00090595,0.00090595
21,1623.91,2.17887,6.52421,1.4935,0.32403,0.4306,0.33227,0.10336,2.36227,6.77941,1.54419,0.000901,0.000901,0.000901
22,1700.41,2.17883,6.36943,1.48656,0.3184,0.31187,0.2577,0.0783,2.41917,7.09719,1.56897,0.00089605,0.00089605,0.00089605
23,1777.27,2.18176,6.29443,1.47975,0.34933,0.42063,0.32512,0.11243,2.3746,6.68038,1.53096,0.0008911,0.0008911,0.0008911
24,1854.29,2.17653,6.24198,1.48139,0.29179,0.47467,0.3336,0.11035,2.37374,6.69294,1.52321,0.00088615,0.00088615,0.00088615
25,1930.59,2.17308,6.16911,1.47212,0.34224,0.37595,0.32256,0.10595,2.33518,6.55971,1.51775,0.0008812,0.0008812,0.0008812
26,2007.08,2.18383,6.13124,1.46702,0.3274,0.41493,0.33616,0.12785,2.35292,6.42309,1.50271,0.00087625,0.00087625,0.00087625
27,2083.42,2.1416,6.04363,1.4586,0.3177,0.50704,0.36637,0.1271,2.35265,6.60855,1.52058,0.0008713,0.0008713,0.0008713
28,2160.07,2.16316,6.06216,1.47131,0.29286,0.47198,0.36001,0.12912,2.31874,6.58078,1.50051,0.00086635,0.00086635,0.00086635
29,2237.15,2.15334,5.91511,1.46007,0.33658,0.47219,0.34301,0.11974,2.32441,6.52596,1.50789,0.0008614,0.0008614,0.0008614
30,2313.68,2.14138,5.8975,1.46035,0.36969,0.44571,0.35589,0.12501,2.37248,6.54266,1.51641,0.00085645,0.00085645,0.00085645
31,2390.08,2.13515,5.90581,1.46126,0.29865,0.47197,0.36784,0.13325,2.41884,6.39866,1.56622,0.0008515,0.0008515,0.0008515
32,2466.48,2.12658,5.85725,1.46501,0.41714,0.42192,0.38739,0.13583,2.32852,6.38861,1.5172,0.00084655,0.00084655,0.00084655
33,2543.08,2.1131,5.71974,1.45648,0.35466,0.4658,0.42808,0.16079,2.31168,6.21164,1.49869,0.0008416,0.0008416,0.0008416
34,2619.91,2.12286,5.66676,1.43796,0.30075,0.49904,0.34217,0.12882,2.34007,6.3992,1.5198,0.00083665,0.00083665,0.00083665
35,2696.46,2.11631,5.59146,1.4501,0.35262,0.50261,0.42256,0.16246,2.34361,6.31436,1.51605,0.0008317,0.0008317,0.0008317
36,2773.1,2.11224,5.64275,1.44912,0.442,0.51489,0.44575,0.14377,2.33027,6.15577,1.51362,0.00082675,0.00082675,0.00082675
37,2849.29,2.11129,5.53097,1.43951,0.35146,0.49624,0.39733,0.15101,2.31287,6.27816,1.49925,0.0008218,0.0008218,0.0008218
38,2926.19,2.08992,5.56022,1.43054,0.37078,0.50142,0.44675,0.15272,2.3172,6.15473,1.51345,0.00081685,0.00081685,0.00081685
