epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.011,2.04494,3.15923,0.9829,0.64596,0.59702,0.5753,0.26041,2.7585,5.21766,1.14267,0.000360588,0.000360588,0.000360588
2,94.545,1.97206,3.0638,0.97237,0.58579,0.60887,0.55608,0.21577,2.80629,5.57421,1.15331,0.000727303,0.000727303,0.000727303
3,128.542,2.05305,3.12277,0.98854,0.56424,0.58943,0.52408,0.23733,2.86746,6.13322,1.16745,0.00109035,0.00109035,0.00109035
4,162.341,2.08134,3.33709,1.00592,0.54403,0.54739,0.52156,0.2305,2.76828,5.63633,1.15406,0.0010945,0.0010945,0.0010945
5,196.636,2.03881,3.27621,0.98387,0.6033,0.42679,0.44773,0.17398,2.83129,5.60372,1.17555,0.001089,0.001089,0.001089
6,230.667,2.05916,3.22844,0.99288,0.61383,0.554,0.53816,0.20725,2.86914,5.72515,1.18754,0.0010835,0.0010835,0.0010835
7,264.347,2.05644,3.28333,0.98824,0.46783,0.48752,0.44726,0.17464,2.90192,6.1448,1.18393,0.001078,0.001078,0.001078
8,298.233,2.01178,3.20545,0.99216,0.62616,0.59491,0.57662,0.2251,2.8273,5.15311,1.17543,0.0010725,0.0010725,0.0010725
9,335.143,2.02277,3.22782,0.98219,0.60097,0.52204,0.49204,0.19899,2.97537,6.42097,1.19246,0.001067,0.001067,0.001067
10,369.208,2.06193,3.18289,0.99084,0.66852,0.55027,0.57441,0.22236,2.87056,5.67527,1.18478,0.0010615,0.0010615,0.0010615
11,403.292,2.00989,3.15284,0.99983,0.58474,0.47557,0.45002,0.20161,2.96513,6.42323,1.20916,0.00105601,0.00105601,0.00105601
12,437.822,2.02941,3.20316,0.99639,0.49621,0.49796,0.46472,0.21661,2.87269,6.01596,1.17622,0.00105051,0.00105051,0.00105051
13,472.282,2.02054,3.15136,0.98411,0.59274,0.39111,0.4178,0.1744,3.05108,6.07012,1.24434,0.00104501,0.00104501,0.00104501
14,506.473,1.97971,3.14713,0.97919,0.45976,0.48411,0.41239,0.14396,2.83256,6.18563,1.16857,0.00103951,0.00103951,0.00103951
15,540.661,2.00023,3.13264,0.97772,0.5109,0.51436,0.44075,0.1692,3.0104,6.47083,1.24014,0.00103401,0.00103401,0.00103401
16,574.954,1.99612,3.11518,0.98096,0.55901,0.5952,0.53476,0.2229,2.90865,5.80132,1.2009,0.00102851,0.00102851,0.00102851
17,609.431,1.97515,3.25526,0.97288,0.61596,0.57609,0.55243,0.25456,2.80339,5.49588,1.16025,0.00102301,0.00102301,0.00102301
18,644.606,1.96073,3.06013,0.97071,0.64964,0.53505,0.56636,0.24154,2.87746,5.5422,1.1947,0.00101751,0.00101751,0.00101751
19,679.193,1.98149,3.0764,0.97516,0.54659,0.61483,0.54593,0.2429,2.84366,5.53647,1.18687,0.00101201,0.00101201,0.00101201
20,714.02,1.9959,3.05859,0.97612,0.65955,0.49915,0.52758,0.21684,2.92355,5.39693,1.21639,0.00100651,0.00100651,0.00100651
21,748.96,1.99748,3.05409,0.98258,0.54007,0.51856,0.50208,0.20818,2.83723,5.80352,1.18091,0.00100101,0.00100101,0.00100101
22,783.979,1.97658,3.08563,0.97282,0.61098,0.54955,0.49381,0.20322,2.88849,5.57972,1.20739,0.000995512,0.000995512,0.000995512
23,819.196,1.93105,2.9841,0.96297,0.63055,0.52848,0.51815,0.23715,2.90665,5.38536,1.2059,0.000990012,0.000990012,0.000990012
24,854.542,1.98086,3.0533,0.96518,0.55081,0.62619,0.52745,0.22966,2.82595,5.5161,1.17182,0.000984513,0.000984513,0.000984513
25,889.231,2.00524,3.15571,0.98856,0.62489,0.50139,0.51792,0.21841,2.81186,5.68524,1.15968,0.000979013,0.000979013,0.000979013
26,924.569,1.95748,2.98875,0.96645,0.60576,0.57456,0.53537,0.23086,2.8273,5.64671,1.17763,0.000973514,0.000973514,0.000973514
27,959.725,1.92584,3.05896,0.96714,0.60511,0.57527,0.55244,0.25133,2.83988,5.42091,1.19153,0.000968014,0.000968014,0.000968014
28,994.825,1.96871,3.04455,0.96917,0.48915,0.45145,0.43773,0.20274,2.95293,5.97532,1.24808,0.000962515,0.000962515,0.000962515
29,1030.81,1.97221,3.20131,0.96597,0.63523,0.51316,0.51712,0.24785,2.85705,5.25572,1.18251,0.000957015,0.000957015,0.000957015
30,1066.75,1.99684,3.07307,0.98172,0.51383,0.50912,0.45608,0.17094,2.89733,5.87015,1.2181,0.000951516,0.000951516,0.000951516
31,1102.73,1.99566,3.10955,0.986,0.64914,0.53203,0.51224,0.22426,2.81575,5.48664,1.15918,0.000946016,0.000946016,0.000946016
