epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.33252,3.46471,11.9274,2.34644,0.60093,0.07143,0.05349,0.02806,4.45362,15.7618,2.1387,0.00031673,0.00031673,0.00031673
2,13.8211,2.72036,7.27854,1.86601,0.2633,0.14773,0.15793,0.04,4.0043,9.00259,2.07664,0.000645839,0.000645839,0.000645839
3,20.3792,2.27935,6.16025,1.66752,0.23452,0.29545,0.22581,0.07668,3.28719,9.64299,1.73763,0.000970547,0.000970547,0.000970547
4,26.967,2.25431,6.00571,1.61502,0.19422,0.21429,0.20986,0.07992,3.25341,8.04404,1.7378,0.00129085,0.00129085,0.00129085
5,33.7018,2.10166,5.65761,1.55235,0.53681,0.20779,0.26485,0.06022,3.3804,6.94243,1.9003,0.00160676,0.00160676,0.00160676
6,40.317,2.06804,5.23089,1.49958,0.4547,0.35552,0.27347,0.07742,3.40222,6.61059,1.89148,0.00161199,0.00161199,0.00161199
7,46.9268,2.00207,4.9432,1.51245,0.6645,0.30231,0.34278,0.10314,3.08249,7.75409,1.75136,0.00160099,0.00160099,0.00160099
8,53.557,2.00023,4.91321,1.51623,0.6769,0.30032,0.34094,0.0943,3.09565,7.3854,1.76958,0.00158998,0.00158998,0.00158998
9,60.2087,1.9377,4.45976,1.43375,0.32804,0.44968,0.26613,0.0817,3.13505,8.83493,1.82927,0.00157898,0.00157898,0.00157898
10,66.8657,1.92997,4.65609,1.45459,0.42678,0.2748,0.28719,0.08555,3.0963,8.40133,1.71787,0.00156798,0.00156798,0.00156798
11,73.5839,1.89679,4.43374,1.43624,0.57741,0.54545,0.47707,0.16169,2.89335,8.43566,1.54866,0.00155698,0.00155698,0.00155698
12,80.2644,1.86214,4.32125,1.37439,0.6031,0.4724,0.4895,0.15002,3.09007,7.44158,1.59509,0.00154598,0.00154598,0.00154598
13,86.9653,1.84979,4.30902,1.40753,0.41288,0.55844,0.43718,0.14793,3.06086,7.95824,1.64112,0.00153497,0.00153497,0.00153497
14,93.7055,1.81529,4.2963,1.35147,0.36067,0.43182,0.35218,0.13159,3.10176,8.45292,1.62498,0.00152397,0.00152397,0.00152397
15,100.527,1.82285,4.17792,1.42254,0.48296,0.66721,0.54711,0.16725,3.20843,6.33007,1.6374,0.00151297,0.00151297,0.00151297
16,107.448,1.81677,3.95419,1.42902,0.48685,0.42208,0.48416,0.14667,3.15882,6.3106,1.67552,0.00150197,0.00150197,0.00150197
17,114.221,1.81221,3.77368,1.37533,0.69651,0.50066,0.58855,0.193,3.03777,7.7549,1.56383,0.00149096,0.00149096,0.00149096
18,120.941,1.85635,3.70077,1.38597,0.7649,0.63704,0.61912,0.20907,3.1471,6.45152,1.53974,0.00147996,0.00147996,0.00147996
19,127.708,1.81901,3.77444,1.38681,0.75477,0.60981,0.69389,0.23035,2.94766,5.38378,1.46251,0.00146896,0.00146896,0.00146896
20,134.466,1.74359,3.54018,1.33263,0.83519,0.67384,0.72997,0.25319,2.73867,4.76171,1.40989,0.00145796,0.00145796,0.00145796
21,141.226,1.74463,3.48696,1.32277,0.61452,0.55219,0.6032,0.19975,2.76728,4.8943,1.44217,0.00144696,0.00144696,0.00144696
22,148.007,1.78436,3.51709,1.36445,0.752,0.47097,0.64312,0.22577,2.86659,4.99784,1.4704,0.00143595,0.00143595,0.00143595
23,154.842,1.74427,3.53353,1.33406,0.59875,0.70292,0.62532,0.23376,2.66573,4.68145,1.3752,0.00142495,0.00142495,0.00142495
24,161.674,1.68408,3.31734,1.29083,0.66225,0.62346,0.65862,0.24559,2.54439,4.84909,1.35104,0.00141395,0.00141395,0.00141395
25,168.629,1.70521,3.49218,1.32665,0.65135,0.63474,0.6518,0.24175,2.45945,4.943,1.38241,0.00140295,0.00140295,0.00140295
26,175.599,1.69216,3.3537,1.31348,0.67706,0.61688,0.63191,0.23928,2.5896,5.53817,1.37199,0.00139195,0.00139195,0.00139195
27,182.449,1.6639,3.20627,1.29003,0.71289,0.62175,0.65989,0.25153,2.54641,6.0218,1.39992,0.00138094,0.00138094,0.00138094
28,189.304,1.66868,3.15038,1.30951,0.74519,0.6405,0.6831,0.25262,2.71007,5.90582,1.37358,0.00136994,0.00136994,0.00136994
29,196.162,1.68543,3.16692,1.30347,0.81621,0.62175,0.72869,0.29292,2.70781,5.04673,1.33897,0.00135894,0.00135894,0.00135894
30,203.105,1.65825,3.2028,1.28755,0.79519,0.57775,0.65034,0.24569,2.76529,5.63011,1.3964,0.00134794,0.00134794,0.00134794
31,210.015,1.61014,3.10456,1.26028,0.69836,0.71753,0.69022,0.30071,2.72347,4.79028,1.32315,0.00133693,0.00133693,0.00133693
32,216.896,1.66816,3.08721,1.2656,0.66819,0.65563,0.66499,0.28831,2.67418,4.88565,1.36065,0.00132593,0.00132593,0.00132593
33,223.836,1.63012,3.05349,1.27809,0.64688,0.62068,0.64546,0.24846,2.58719,5.087,1.3631,0.00131493,0.00131493,0.00131493
34,230.813,1.57645,2.99303,1.24369,0.59687,0.57288,0.59375,0.24182,2.65282,4.84468,1.36243,0.00130393,0.00130393,0.00130393
35,237.897,1.64511,3.00894,1.2728,0.78572,0.64448,0.71653,0.26467,2.70513,5.02997,1.39279,0.00129293,0.00129293,0.00129293
36,244.963,1.5456,2.9448,1.23434,0.75146,0.66459,0.73953,0.31155,2.64765,4.94809,1.35876,0.00128192,0.00128192,0.00128192
37,251.995,1.5801,2.90764,1.24289,0.67812,0.66538,0.66954,0.30509,2.65735,3.91108,1.38863,0.00127092,0.00127092,0.00127092
38,259.031,1.5555,2.84152,1.25631,0.857,0.66234,0.71472,0.31147,2.68952,3.89318,1.41077,0.00125992,0.00125992,0.00125992
39,266.126,1.59313,2.86988,1.24041,0.86233,0.5487,0.62956,0.28071,2.63928,4.29278,1.43086,0.00124892,0.00124892,0.00124892
40,273.274,1.58899,2.85515,1.25927,0.86649,0.60659,0.67771,0.28516,2.48186,3.64156,1.40567,0.00123791,0.00123791,0.00123791
41,280.336,1.48427,2.7765,1.2126,0.86998,0.71266,0.77859,0.30325,2.51462,3.71511,1.33022,0.00122691,0.00122691,0.00122691
42,287.42,1.53493,2.73937,1.2127,0.75808,0.6691,0.7478,0.30202,2.48508,4.08816,1.369,0.00121591,0.00121591,0.00121591
43,294.536,1.49964,2.71444,1.2046,0.86502,0.68019,0.76182,0.31134,2.48186,3.88032,1.36209,0.00120491,0.00120491,0.00120491
44,301.625,1.56996,2.75594,1.24637,0.82679,0.72078,0.77609,0.30279,2.60695,3.82347,1.33402,0.00119391,0.00119391,0.00119391
45,308.743,1.55391,2.71845,1.2126,0.77865,0.70779,0.71783,0.31034,2.57684,4.05728,1.34259,0.0011829,0.0011829,0.0011829
46,315.806,1.50563,2.64917,1.21417,0.87928,0.72565,0.77947,0.31562,2.43852,3.99518,1.33747,0.0011719,0.0011719,0.0011719
47,323.041,1.54387,2.66193,1.22612,0.9072,0.72565,0.79445,0.34729,2.42338,4.23814,1.29171,0.0011609,0.0011609,0.0011609
48,330.213,1.48967,2.62165,1.1971,0.72319,0.68019,0.70251,0.28954,2.60248,4.61325,1.42539,0.0011499,0.0011499,0.0011499
49,337.433,1.46783,2.53598,1.16932,0.82155,0.75451,0.78226,0.32056,2.55431,3.93888,1.33069,0.00113889,0.00113889,0.00113889
50,344.719,1.47284,2.49972,1.1788,0.86497,0.7711,0.82409,0.34217,2.44901,3.88633,1.28253,0.00112789,0.00112789,0.00112789
51,352.008,1.54044,2.60645,1.2324,0.90127,0.73939,0.81738,0.35133,2.42135,3.69609,1.26089,0.00111689,0.00111689,0.00111689
52,359.224,1.53403,2.62084,1.2146,0.88615,0.68506,0.76913,0.32741,2.41101,3.56482,1.31506,0.00110589,0.00110589,0.00110589
53,366.451,1.50734,2.61089,1.21216,0.87643,0.68506,0.74858,0.34854,2.42676,3.99465,1.3194,0.00109489,0.00109489,0.00109489
54,373.757,1.47941,2.47602,1.17112,0.82975,0.69481,0.76053,0.31083,2.39937,3.97574,1.32093,0.00108388,0.00108388,0.00108388
55,381.071,1.44719,2.42962,1.18432,0.85826,0.60198,0.66522,0.27846,2.38808,3.57451,1.4863,0.00107288,0.00107288,0.00107288
56,388.355,1.4739,2.35561,1.1787,0.87776,0.56814,0.64552,0.27601,2.4233,3.50774,1.5306,0.00106188,0.00106188,0.00106188
57,395.686,1.52399,2.45802,1.2387,0.86547,0.75513,0.78455,0.35934,2.34174,3.28827,1.2979,0.00105088,0.00105088,0.00105088
58,402.969,1.46393,2.43616,1.19662,0.84402,0.68506,0.72801,0.33641,2.48214,3.60266,1.32972,0.00103987,0.00103987,0.00103987
59,410.332,1.52586,2.53893,1.20229,0.71662,0.63961,0.64672,0.33,2.40902,4.08215,1.34384,0.00102887,0.00102887,0.00102887
60,417.709,1.46238,2.41419,1.17781,0.86794,0.58929,0.69502,0.3335,2.39778,3.7558,1.34076,0.00101787,0.00101787,0.00101787
61,425.071,1.43972,2.42431,1.1557,0.8556,0.65747,0.72901,0.31721,2.50422,3.93098,1.28922,0.00100687,0.00100687,0.00100687
62,432.397,1.40529,2.38475,1.18506,0.92459,0.70292,0.77639,0.34556,2.28035,4.06181,1.26222,0.000995866,0.000995866,0.000995866
63,439.843,1.42698,2.34662,1.17384,0.88277,0.6156,0.70805,0.31424,2.24154,4.22145,1.3,0.000984864,0.000984864,0.000984864
64,447.341,1.4501,2.38345,1.1502,0.85046,0.66032,0.75984,0.34414,2.2575,3.77134,1.32995,0.000973861,0.000973861,0.000973861
65,454.738,1.45726,2.37686,1.17636,0.81079,0.63333,0.73183,0.30075,2.37255,3.53254,1.35392,0.000962859,0.000962859,0.000962859
66,462.106,1.42508,2.294,1.17714,0.79278,0.64773,0.75256,0.33227,2.3483,3.62746,1.36908,0.000951857,0.000951857,0.000951857
67,469.539,1.41516,2.30268,1.15391,0.90174,0.69046,0.78416,0.3759,2.28658,3.45697,1.27938,0.000940855,0.000940855,0.000940855
68,476.953,1.3826,2.21007,1.11831,0.93294,0.70344,0.79472,0.34647,2.2887,3.46865,1.28662,0.000929853,0.000929853,0.000929853
69,484.32,1.41025,2.33265,1.17343,0.84662,0.63697,0.74258,0.34778,2.32355,3.48313,1.40919,0.00091885,0.00091885,0.00091885
