epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2567,0.21188,0.31481,0.84187,0.99853,1,0.995,0.98005,0.25111,0.30993,0.83308,0.000583333,0.000583333,0.000583333
2,17.4015,0.26743,0.36947,0.82564,0.96432,0.89189,0.9803,0.6834,1.02168,1.04225,1.49578,0.00122525,0.00122525,0.00122525
3,20.6403,0.23446,0.31588,0.85699,0.92406,0.98673,0.97828,0.65695,1.02835,0.9732,1.35064,0.00184077,0.00184077,0.00184077
4,23.8603,0.26688,0.3458,0.84695,0.99584,1,0.995,0.8581,0.45996,0.87448,0.96386,0.0018812,0.0018812,0.0018812
5,27.0805,0.30749,0.38967,0.89142,0.99328,1,0.995,0.94221,0.30857,0.64343,0.88183,0.0018416,0.0018416,0.0018416
6,30.3144,0.2611,0.36364,0.85868,0.99677,1,0.995,0.98553,0.24734,0.49418,0.83689,0.001802,0.001802,0.001802
7,33.5873,0.28259,0.37572,0.85822,0.99856,1,0.995,0.95741,0.28975,0.33853,0.84358,0.0017624,0.0017624,0.0017624
8,36.7788,0.2412,0.31634,0.81504,0.99814,1,0.995,0.97526,0.26277,0.32462,0.82792,0.0017228,0.0017228,0.0017228
9,40.0009,0.26614,0.3533,0.84156,0.99198,1,0.995,0.98171,0.23397,0.36246,0.80354,0.0016832,0.0016832,0.0016832
10,43.1969,0.23134,0.30551,0.84026,0.99329,1,0.995,0.94746,0.26885,0.45159,0.83238,0.0016436,0.0016436,0.0016436
11,46.4699,0.19651,0.28333,0.83608,0.99259,1,0.995,0.95145,0.27328,0.48255,0.83484,0.001604,0.001604,0.001604
12,49.6739,0.19325,0.27366,0.7954,0.99542,1,0.995,0.993,0.23089,0.32338,0.81247,0.0015644,0.0015644,0.0015644
13,52.8922,0.21336,0.27862,0.81776,0.99373,1,0.995,0.98956,0.19074,0.29518,0.79559,0.0015248,0.0015248,0.0015248
14,56.0914,0.16797,0.25651,0.75775,0.99319,1,0.995,0.98271,0.23226,0.31837,0.80084,0.0014852,0.0014852,0.0014852
15,59.3863,0.1912,0.25667,0.81857,0.92419,1,0.99447,0.99447,0.19618,0.35187,0.79601,0.0014456,0.0014456,0.0014456
16,62.6297,0.1581,0.24247,0.79912,0.99517,1,0.995,0.99146,0.17658,0.23013,0.79108,0.001406,0.001406,0.001406
17,65.9379,0.15784,0.22468,0.76949,0.99842,1,0.995,0.995,0.15967,0.19547,0.78684,0.0013664,0.0013664,0.0013664
18,69.2542,0.14698,0.23665,0.82925,0.99729,1,0.995,0.995,0.1467,0.22945,0.78132,0.0013268,0.0013268,0.0013268
19,72.5109,0.15574,0.23277,0.80312,0.99733,1,0.995,0.99124,0.1419,0.23194,0.78283,0.0012872,0.0012872,0.0012872
20,75.8388,0.1615,0.24814,0.74239,0.99801,1,0.995,0.99138,0.17113,0.23362,0.79304,0.0012476,0.0012476,0.0012476
21,79.1655,0.17162,0.23384,0.84935,0.99806,1,0.995,0.99205,0.14477,0.20852,0.78265,0.001208,0.001208,0.001208
22,82.6932,0.15114,0.21342,0.8027,0.99812,1,0.995,0.99278,0.1323,0.18495,0.77977,0.0011684,0.0011684,0.0011684
23,86.3842,0.17214,0.21643,0.81273,0.99824,1,0.995,0.993,0.16669,0.18608,0.78462,0.0011288,0.0011288,0.0011288
24,89.7225,0.13934,0.19108,0.77087,0.99845,1,0.995,0.99278,0.1558,0.17558,0.78261,0.0010892,0.0010892,0.0010892
25,92.9739,0.14602,0.19948,0.81273,0.99853,1,0.995,0.99146,0.14001,0.15943,0.78155,0.0010496,0.0010496,0.0010496
26,96.1691,0.13002,0.18328,0.8226,0.99853,1,0.995,0.99138,0.11412,0.15673,0.77712,0.00101,0.00101,0.00101
27,99.3044,0.12348,0.1732,0.78208,0.99857,1,0.995,0.99205,0.11113,0.14443,0.77763,0.0009704,0.0009704,0.0009704
28,102.502,0.11702,0.17083,0.7754,0.99854,1,0.995,0.99292,0.11891,0.14813,0.77713,0.0009308,0.0009308,0.0009308
29,105.716,0.13186,0.17707,0.81618,0.99856,1,0.995,0.99284,0.11666,0.1493,0.77616,0.0008912,0.0008912,0.0008912
30,108.949,0.13041,0.19422,0.81159,0.99853,1,0.995,0.99257,0.11278,0.14954,0.77562,0.0008516,0.0008516,0.0008516
31,112.186,0.21005,0.30979,0.77801,0.99857,1,0.995,0.99014,0.10568,0.14162,0.7734,0.000812,0.000812,0.000812
32,115.367,0.11642,0.18096,0.7618,0.99856,1,0.995,0.98462,0.10437,0.14979,0.77409,0.0007724,0.0007724,0.0007724
33,118.546,0.11756,0.18227,0.80944,0.99858,1,0.995,0.98408,0.09891,0.15171,0.77594,0.0007328,0.0007328,0.0007328
34,121.765,0.10301,0.17706,0.7979,0.99856,1,0.995,0.98343,0.10108,0.14884,0.77641,0.0006932,0.0006932,0.0006932
35,124.944,0.10424,0.16307,0.7613,0.99857,1,0.995,0.98203,0.10616,0.13945,0.77712,0.0006536,0.0006536,0.0006536
36,128.157,0.09504,0.15319,0.76681,0.99861,1,0.995,0.98657,0.09986,0.12102,0.77558,0.000614,0.000614,0.000614
37,131.42,0.10852,0.16351,0.79592,0.99862,1,0.995,0.98657,0.10433,0.13259,0.77467,0.0005744,0.0005744,0.0005744
