epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.52026,0.2073,2.65701,0.81583,0.00333,1,0.995,0.99037,0.16094,2.82733,0.75787,0.00024,0.00024,0.00024
2,10.5054,0.25759,1.68446,0.82584,0.00333,1,0.995,0.94886,0.23335,2.73999,0.80014,0.00049505,0.00049505,0.00049505
3,15.4132,0.26683,1.32103,0.79717,1,0.74195,0.98971,0.9247,0.29166,2.38583,0.80776,0.000744952,0.000744952,0.000744952
4,20.3219,0.26435,1.17306,0.79754,0.99309,1,0.995,0.9409,0.3577,1.9386,0.85508,0.000989706,0.000989706,0.000989706
5,25.3312,0.3048,1.14397,0.83565,0.98859,1,0.995,0.95131,0.32215,1.86695,0.82412,0.00122931,0.00122931,0.00122931
6,30.2679,0.29716,1.13104,0.82871,0.99133,0.93939,0.99324,0.90082,0.41089,2.01974,0.89884,0.00146377,0.00146377,0.00146377
7,35.277,0.30183,1.12239,0.82999,0.96002,0.57576,0.76175,0.70017,0.41544,2.34454,0.90168,0.00169308,0.00169308,0.00169308
8,40.2042,0.33519,1.07521,0.84463,0.82156,0.69761,0.77522,0.66215,0.48483,2.30209,0.95391,0.0018614,0.0018614,0.0018614
9,45.1782,0.30812,1.04195,0.83954,0.99941,1,0.995,0.91283,0.35379,1.70875,0.84444,0.0018416,0.0018416,0.0018416
10,50.162,0.32652,0.96186,0.81575,0.97739,0.93939,0.98884,0.93138,0.3196,2.2836,0.82608,0.0018218,0.0018218,0.0018218
11,55.163,0.27507,0.91961,0.81121,0.996,1,0.995,0.96518,0.28734,1.39471,0.80372,0.001802,0.001802,0.001802
12,60.1569,0.26796,0.88668,0.81963,0.99776,1,0.995,0.97811,0.28338,0.95785,0.79997,0.0017822,0.0017822,0.0017822
13,65.1886,0.27804,0.82841,0.81637,0.99519,1,0.995,0.98161,0.26376,0.89147,0.79996,0.0017624,0.0017624,0.0017624
14,70.3323,0.2531,0.7652,0.80987,0.99757,1,0.995,0.95738,0.27062,0.98079,0.79156,0.0017426,0.0017426,0.0017426
15,75.5154,0.27071,0.75548,0.81986,0.99685,1,0.995,0.95073,0.25206,0.82247,0.78279,0.0017228,0.0017228,0.0017228
16,80.5787,0.26373,0.7538,0.81109,0.9977,1,0.995,0.9502,0.25569,0.71978,0.77944,0.001703,0.001703,0.001703
17,85.6196,0.25208,0.70922,0.81658,0.99754,1,0.995,0.95279,0.26406,0.74192,0.79351,0.0016832,0.0016832,0.0016832
18,90.6974,0.25879,0.68565,0.81563,0.99711,1,0.995,0.97615,0.23613,0.80491,0.78125,0.0016634,0.0016634,0.0016634
19,95.8003,0.23719,0.64729,0.79459,0.99837,1,0.995,0.97678,0.23005,0.63357,0.77608,0.0016436,0.0016436,0.0016436
20,100.889,0.22162,0.62422,0.76756,0.99839,1,0.995,0.995,0.18413,0.60108,0.75873,0.0016238,0.0016238,0.0016238
21,105.965,0.20713,0.58774,0.7718,0.99843,1,0.995,0.99164,0.17247,0.54933,0.75479,0.001604,0.001604,0.001604
22,111.041,0.22776,0.58357,0.75944,0.99841,1,0.995,0.99146,0.19693,0.50827,0.76039,0.0015842,0.0015842,0.0015842
23,116.118,0.2324,0.5614,0.81674,0.99842,1,0.995,0.98919,0.23146,0.48239,0.77371,0.0015644,0.0015644,0.0015644
24,121.217,0.22698,0.53284,0.80934,0.99835,1,0.995,0.99028,0.23633,0.5133,0.77431,0.0015446,0.0015446,0.0015446
25,126.3,0.22078,0.52753,0.7856,0.99843,1,0.995,0.99065,0.18813,0.44767,0.75843,0.0015248,0.0015248,0.0015248
26,131.368,0.20133,0.50104,0.79237,0.99846,1,0.995,0.98356,0.16299,0.43201,0.75637,0.001505,0.001505,0.001505
27,136.44,0.18824,0.47754,0.78773,0.99839,1,0.995,0.98778,0.20525,0.4567,0.76742,0.0014852,0.0014852,0.0014852
28,141.621,0.19356,0.46769,0.79381,0.99842,1,0.995,0.995,0.14985,0.36451,0.75094,0.0014654,0.0014654,0.0014654
29,146.753,0.17912,0.43906,0.78104,0.99845,1,0.995,0.995,0.14603,0.39399,0.74926,0.0014456,0.0014456,0.0014456
30,151.846,0.16885,0.42583,0.78619,0.99847,1,0.995,0.995,0.14745,0.37029,0.75024,0.0014258,0.0014258,0.0014258
31,156.946,0.17637,0.41485,0.79911,0.99848,1,0.995,0.995,0.15016,0.36866,0.7493,0.001406,0.001406,0.001406
32,162.026,0.17878,0.42007,0.77418,0.99847,1,0.995,0.995,0.17636,0.41033,0.75453,0.0013862,0.0013862,0.0013862
33,167.151,0.18666,0.40718,0.76118,0.99846,1,0.995,0.995,0.17862,0.35685,0.75666,0.0013664,0.0013664,0.0013664
34,172.317,0.17814,0.38926,0.78339,0.99846,1,0.995,0.995,0.15981,0.35441,0.75116,0.0013466,0.0013466,0.0013466
35,177.491,0.16733,0.38668,0.78227,0.99845,1,0.995,0.995,0.14255,0.33698,0.7491,0.0013268,0.0013268,0.0013268
36,182.628,0.15441,0.36744,0.78169,0.99842,1,0.995,0.995,0.15028,0.32593,0.74769,0.001307,0.001307,0.001307
37,187.803,0.15039,0.35401,0.76215,0.99847,1,0.995,0.995,0.1756,0.33708,0.75727,0.0012872,0.0012872,0.0012872
38,192.995,0.16159,0.35733,0.75501,0.9984,1,0.995,0.995,0.15694,0.31478,0.75234,0.0012674,0.0012674,0.0012674
39,198.129,0.17025,0.36206,0.79788,0.99843,1,0.995,0.995,0.13812,0.30783,0.74726,0.0012476,0.0012476,0.0012476
40,203.306,0.16026,0.3414,0.80859,0.9984,1,0.995,0.995,0.13297,0.30004,0.74853,0.0012278,0.0012278,0.0012278
1,3.84842,0.24932,0.46409,0.94725,0.99669,1,0.995,0.98716,0.17039,0.4097,0.81938,0.00014,0.00014,0.00014
2,6.84592,0.18307,0.37188,0.85458,0.99743,1,0.995,0.995,0.16284,0.40171,0.81184,0.00029703,0.00029703,0.00029703
3,9.8119,0.18362,0.37786,0.83483,0.99753,1,0.995,0.98897,0.15311,0.36831,0.81746,0.000450892,0.000450892,0.000450892
4,12.7485,0.20829,0.3862,0.84328,0.99706,1,0.995,0.995,0.16604,0.47665,0.82141,0.000601586,0.000601586,0.000601586
5,15.7114,0.17362,0.36589,0.83426,0.99738,1,0.995,0.995,0.17859,0.41671,0.81754,0.000749112,0.000749112,0.000749112
6,18.6577,0.16806,0.36117,0.83019,0.99718,1,0.995,0.995,0.16249,0.44439,0.8067,0.00089347,0.00089347,0.00089347
7,21.6199,0.17189,0.35335,0.83196,0.99703,1,0.995,0.995,0.18398,0.42231,0.81725,0.00103466,0.00103466,0.00103466
8,24.5705,0.16819,0.32963,0.78909,0.99665,1,0.995,0.98782,0.17406,0.37886,0.81514,0.00117268,0.00117268,0.00117268
9,27.5233,0.19532,0.35945,0.80941,0.99595,1,0.995,0.99011,0.17648,0.41622,0.81328,0.00130754,0.00130754,0.00130754
1,3.39446,0.16923,0.34221,0.81647,0.9972,1,0.995,0.995,0.13927,0.35036,0.7999,0.00014,0.00014,0.00014
2,6.38857,0.15887,0.31999,0.81372,0.9975,1,0.995,0.995,0.13508,0.3328,0.78552,0.00029703,0.00029703,0.00029703
3,9.40789,0.16189,0.32429,0.81233,0.99756,1,0.995,0.995,0.14656,0.34474,0.79146,0.000450892,0.000450892,0.000450892
4,12.3991,0.19278,0.35999,0.80236,0.99749,1,0.995,0.995,0.15842,0.37328,0.79628,0.000601586,0.000601586,0.000601586
5,15.4275,0.17708,0.32859,0.82495,0.99753,1,0.995,0.995,0.15908,0.34702,0.78873,0.000749112,0.000749112,0.000749112
6,18.3949,0.1879,0.3324,0.82494,0.99748,1,0.995,0.9844,0.18533,0.36843,0.80034,0.00089347,0.00089347,0.00089347
7,21.374,0.18116,0.341,0.82564,0.99723,1,0.995,0.995,0.20303,0.36592,0.81518,0.00103466,0.00103466,0.00103466
8,24.3581,0.17134,0.32111,0.79298,0.99742,1,0.995,0.995,0.16416,0.35832,0.7963,0.00117268,0.00117268,0.00117268
9,27.3488,0.17497,0.32764,0.79487,0.99723,1,0.995,0.995,0.16601,0.32642,0.80241,0.00130754,0.00130754,0.00130754
10,30.3562,0.16453,0.3207,0.8209,0.9975,1,0.995,0.995,0.16542,0.329,0.79045,0.00143922,0.00143922,0.00143922
11,33.4133,0.17161,0.30029,0.79911,0.99753,1,0.995,0.995,0.17345,0.3374,0.79327,0.00156774,0.00156774,0.00156774
12,36.4296,0.17064,0.29974,0.78717,0.9975,1,0.995,0.995,0.18856,0.32131,0.79973,0.00169309,0.00169309,0.00169309
13,39.4165,0.18048,0.30492,0.82127,0.99752,1,0.995,0.9892,0.19504,0.31421,0.81974,0.0017624,0.0017624,0.0017624
14,42.5362,0.18555,0.295,0.7994,0.99754,1,0.995,0.995,0.16955,0.30971,0.79371,0.0017426,0.0017426,0.0017426
15,45.7362,0.19176,0.30551,0.81467,0.99763,1,0.995,0.995,0.19439,0.29917,0.80834,0.0017228,0.0017228,0.0017228
