epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.98157,0.31121,0.34138,1.0405,0.94397,0.70223,0.82795,0.67863,0.57113,1.47624,1.3681,0.00016,0.00016,0.00016
2,6.92217,0.14783,0.25624,0.81404,1,0.81965,0.9696,0.95521,0.22071,1.17152,0.8107,0.000336634,0.000336634,0.000336634
3,9.78751,0.14536,0.24219,0.80919,1,0.81107,0.98243,0.98243,0.20054,1.29577,0.79729,0.000509704,0.000509704,0.000509704
4,12.587,0.15135,0.23395,0.81774,0.99186,0.79167,0.93682,0.93408,0.19789,1.21211,0.80437,0.00067921,0.00067921,0.00067921
5,15.3885,0.16851,0.25613,0.81961,0.99631,1,0.995,0.995,0.1587,0.60133,0.76321,0.000845152,0.000845152,0.000845152
6,18.2275,0.16495,0.25466,0.81054,0.9972,1,0.995,0.995,0.15014,0.40599,0.75169,0.00100753,0.00100753,0.00100753
7,21.0325,0.1567,0.24543,0.79963,0.99776,1,0.995,0.995,0.14248,0.28318,0.7446,0.00116634,0.00116634,0.00116634
8,23.791,0.18237,0.25286,0.8084,0.99788,1,0.995,0.995,0.15334,0.23866,0.74466,0.00132159,0.00132159,0.00132159
9,26.5779,0.16102,0.23001,0.7885,0.99788,1,0.995,0.995,0.15247,0.2277,0.74541,0.00147328,0.00147328,0.00147328
10,29.3372,0.16325,0.23146,0.79937,0.99783,1,0.995,0.995,0.16323,0.21726,0.74784,0.0016214,0.0016214,0.0016214
11,32.2105,0.18195,0.24022,0.79426,0.99782,1,0.995,0.99054,0.16957,0.24012,0.74659,0.00176596,0.00176596,0.00176596
12,35.1034,0.17953,0.24721,0.80901,0.99776,1,0.995,0.995,0.15482,0.23722,0.7453,0.0017822,0.0017822,0.0017822
13,37.9951,0.16946,0.24623,0.82191,0.99775,1,0.995,0.995,0.17041,0.22348,0.75067,0.0017624,0.0017624,0.0017624
14,40.8433,0.1707,0.2395,0.79648,0.99784,1,0.995,0.995,0.14919,0.22101,0.74374,0.0017426,0.0017426,0.0017426
15,43.6663,0.15747,0.20858,0.77319,0.99791,1,0.995,0.995,0.13997,0.19592,0.74062,0.0017228,0.0017228,0.0017228
16,46.5035,0.16693,0.22577,0.81443,0.99791,1,0.995,0.995,0.17779,0.21032,0.75158,0.001703,0.001703,0.001703
17,49.3317,0.16697,0.22167,0.80964,0.99793,1,0.995,0.995,0.146,0.18789,0.74185,0.0016832,0.0016832,0.0016832
18,52.1196,0.16168,0.22196,0.77756,0.9979,1,0.995,0.995,0.12987,0.19139,0.73702,0.0016634,0.0016634,0.0016634
19,55.1322,0.15549,0.20878,0.78437,0.99788,1,0.995,0.99073,0.16811,0.20889,0.74926,0.0016436,0.0016436,0.0016436
20,57.9986,0.17618,0.22444,0.79413,0.99788,1,0.995,0.995,0.16932,0.20218,0.74494,0.0016238,0.0016238,0.0016238
21,60.8642,0.16523,0.21852,0.82921,0.99784,1,0.995,0.995,0.14854,0.18644,0.74068,0.001604,0.001604,0.001604
22,63.7767,0.154,0.21161,0.80478,0.99783,1,0.995,0.995,0.13092,0.1704,0.73443,0.0015842,0.0015842,0.0015842
23,66.7401,0.15198,0.19376,0.82899,0.99782,1,0.995,0.995,0.15356,0.17226,0.74606,0.0015644,0.0015644,0.0015644
24,69.6097,0.15187,0.1906,0.80671,0.99777,1,0.995,0.995,0.13507,0.17573,0.7418,0.0015446,0.0015446,0.0015446
25,72.3987,0.1429,0.19067,0.80828,0.99721,1,0.995,0.995,0.1262,0.17176,0.73507,0.0015248,0.0015248,0.0015248
