epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.5411,1.24087,3.50705,1.62475,0.00248,0.3,0.19875,0.16158,1.14568,3.90002,1.48646,0.000361917,0.000361917,0.000361917
1,19.5172,1.24087,3.50705,1.62475,0.00248,0.3,0.19875,0.16158,1.14568,3.90002,1.48646,0.000361917,0.000361917,0.000361917
2,42.0016,1.17154,2.44696,1.48452,1,0.19992,0.21164,0.16623,1.42141,3.09794,1.54047,0.000725001,0.000725001,0.000725001
3,65.8897,1.03467,1.94883,1.41117,0.76768,0.29091,0.33142,0.18722,1.19934,3.07707,1.68038,0.00108075,0.00108075,0.00108075
4,94.7243,1.01425,1.81034,1.38973,0.38828,0.27688,0.24246,0.15615,1.3069,2.34234,1.48913,0.001078,0.001078,0.001078
5,133.79,1.01667,1.69313,1.37713,0.68274,0.27978,0.29927,0.20096,1.32781,1.83086,1.54105,0.001067,0.001067,0.001067
6,169.852,0.97455,1.53742,1.3626,0.57012,0.42636,0.452,0.25139,1.38228,1.693,1.5943,0.00105601,0.00105601,0.00105601
7,205.306,0.98674,1.44125,1.35906,0.55537,0.49889,0.43723,0.24666,1.21621,1.63272,1.44227,0.00104501,0.00104501,0.00104501
8,246.907,0.94604,1.37602,1.33151,0.71239,0.54442,0.43117,0.25562,1.2193,1.79792,1.35721,0.00103401,0.00103401,0.00103401
9,282.796,0.94434,1.2712,1.33935,0.72423,0.51437,0.49438,0.26733,1.18699,1.46698,1.30104,0.00102301,0.00102301,0.00102301
10,315.976,0.91365,1.19601,1.29754,0.58841,0.50462,0.47405,0.27423,1.15914,1.38432,1.29005,0.00101201,0.00101201,0.00101201
11,345.731,0.9365,1.16896,1.30115,0.69651,0.5001,0.51191,0.28707,1.28872,1.32523,1.40975,0.00100101,0.00100101,0.00100101
12,373.7,0.91144,1.09092,1.28362,0.66576,0.65714,0.55022,0.28087,1.29008,1.82787,1.42958,0.000990012,0.000990012,0.000990012
13,402.312,0.90649,1.09863,1.28829,0.62439,0.57403,0.51323,0.28236,1.12271,1.13189,1.29148,0.000979013,0.000979013,0.000979013
14,432.622,0.90312,1.04733,1.2836,0.67847,0.59221,0.54787,0.31702,1.07708,1.14784,1.20942,0.000968014,0.000968014,0.000968014
15,462.676,0.89466,0.99828,1.27674,0.79652,0.54156,0.63871,0.32633,1.24105,1.01789,1.36906,0.000957015,0.000957015,0.000957015
16,492.201,0.889,0.94379,1.27214,0.66837,0.61767,0.59017,0.31572,1.13963,1.18877,1.27553,0.000946016,0.000946016,0.000946016
17,518.819,0.87843,0.96527,1.26712,0.71509,0.66505,0.60181,0.31324,1.18208,1.03937,1.30705,0.000935018,0.000935018,0.000935018
18,547.746,0.85377,0.91008,1.25447,0.68601,0.45844,0.51004,0.28637,1.25036,0.94123,1.33387,0.000924019,0.000924019,0.000924019
19,576.693,0.86383,0.85162,1.26788,0.80132,0.53475,0.57271,0.31218,1.28165,1.00744,1.32927,0.00091302,0.00091302,0.00091302
20,603.585,0.86087,0.80392,1.23564,0.88296,0.5696,0.64594,0.34894,1.19536,0.92788,1.34835,0.000902021,0.000902021,0.000902021
21,627.805,0.85914,0.83036,1.22987,0.73716,0.61,0.63112,0.34225,1.12978,0.88576,1.26516,0.000891022,0.000891022,0.000891022
22,654.39,0.90442,0.84356,1.26975,0.70806,0.63661,0.60772,0.338,1.13642,0.82879,1.25967,0.000880023,0.000880023,0.000880023
23,681.333,0.81924,0.78879,1.21857,0.75824,0.67336,0.69558,0.38766,1.06641,0.8398,1.23574,0.000869024,0.000869024,0.000869024
24,709.575,0.82215,0.78732,1.21334,0.82118,0.56954,0.63343,0.3403,1.17699,0.91646,1.25761,0.000858025,0.000858025,0.000858025
25,738.948,0.8712,0.78059,1.24741,0.77862,0.6642,0.64846,0.34665,1.28308,0.84481,1.35814,0.000847026,0.000847026,0.000847026
26,767.212,0.81773,0.75752,1.21543,0.91171,0.61639,0.6957,0.33694,1.23513,0.89914,1.33125,0.000836027,0.000836027,0.000836027
27,795.591,0.8611,0.75704,1.23913,0.75657,0.68182,0.66936,0.36315,1.03161,0.78448,1.16414,0.000825029,0.000825029,0.000825029
28,814.841,0.84534,0.75042,1.2263,0.89983,0.58182,0.70823,0.36997,1.12708,0.75546,1.23336,0.00081403,0.00081403,0.00081403
29,833.554,0.83927,0.71441,1.2267,0.82366,0.68044,0.67706,0.37201,1.05328,0.77324,1.1212,0.000803031,0.000803031,0.000803031
30,851.647,0.82434,0.70428,1.22245,0.91381,0.55366,0.66616,0.35763,1.05772,0.74344,1.13352,0.000792032,0.000792032,0.000792032
31,870.943,0.81601,0.69372,1.19574,0.86547,0.63336,0.6975,0.38692,1.11715,0.76075,1.22284,0.000781033,0.000781033,0.000781033
32,889.426,0.80305,0.67007,1.18565,0.82304,0.60684,0.70202,0.37896,1.15147,0.7045,1.2701,0.000770034,0.000770034,0.000770034
33,907.377,0.75532,0.65786,1.15698,0.82292,0.62959,0.70018,0.37905,1.07836,0.81875,1.16267,0.000759035,0.000759035,0.000759035
34,924.883,0.76409,0.64219,1.1673,0.88947,0.63314,0.7167,0.37697,1.15576,0.80423,1.20318,0.000748036,0.000748036,0.000748036
35,942.42,0.7655,0.63773,1.15824,0.90724,0.64876,0.71589,0.38333,1.10819,0.72346,1.174,0.000737037,0.000737037,0.000737037
36,959.923,0.77355,0.63787,1.15959,0.864,0.62857,0.71199,0.41341,0.98018,0.68591,1.0804,0.000726038,0.000726038,0.000726038
37,977.395,0.76304,0.63194,1.15484,0.87905,0.66493,0.73343,0.42469,1.02001,0.65285,1.0984,0.00071504,0.00071504,0.00071504
38,995.153,0.78414,0.62583,1.17076,0.77912,0.75,0.77459,0.45164,0.96955,0.61623,1.06371,0.000704041,0.000704041,0.000704041
39,1013.06,0.78058,0.60885,1.16967,0.85991,0.67021,0.75317,0.40357,1.18515,0.7272,1.28117,0.000693042,0.000693042,0.000693042
40,1030.57,0.7596,0.61411,1.16003,0.64257,0.77857,0.71988,0.38552,1.1818,0.70865,1.35414,0.000682043,0.000682043,0.000682043
41,1048.31,0.73943,0.62246,1.15034,0.88637,0.64326,0.7164,0.41073,0.96952,0.70681,1.07776,0.000671044,0.000671044,0.000671044
42,1065.78,0.74065,0.60148,1.14361,0.85465,0.67216,0.74754,0.40518,1.04828,0.74109,1.10454,0.000660045,0.000660045,0.000660045
43,1083.36,0.75579,0.60322,1.13694,0.71217,0.76429,0.75719,0.44125,0.91876,0.65529,1.02643,0.000649046,0.000649046,0.000649046
44,1100.98,0.71284,0.58492,1.13556,0.90899,0.67325,0.77016,0.45553,0.95685,0.63547,1.06839,0.000638047,0.000638047,0.000638047
45,1118.78,0.73678,0.64158,1.14379,0.93783,0.66511,0.74991,0.42759,1.06048,0.66981,1.15844,0.000627048,0.000627048,0.000627048
46,1136.47,0.71622,0.56178,1.12958,0.88894,0.72105,0.78787,0.44065,1.0037,0.62272,1.11329,0.000616049,0.000616049,0.000616049
47,1154.22,0.71468,0.56131,1.13755,0.86961,0.67524,0.7689,0.44576,0.92542,0.60194,1.03435,0.000605051,0.000605051,0.000605051
48,1171.89,0.71806,0.55513,1.12593,0.87703,0.71147,0.7395,0.42428,0.90192,0.65243,1.03173,0.000594052,0.000594052,0.000594052
49,1189.74,0.69686,0.55187,1.13385,0.91829,0.70997,0.74306,0.43248,0.86952,0.65716,1.01386,0.000583053,0.000583053,0.000583053
50,1207.86,0.70287,0.57462,1.12312,0.92148,0.69903,0.77249,0.46025,0.87104,0.53542,0.99306,0.000572054,0.000572054,0.000572054
51,1225.22,0.69678,0.53567,1.11087,0.8477,0.70734,0.76335,0.44004,0.87655,0.62417,1.00366,0.000561055,0.000561055,0.000561055
52,1242.68,0.69678,0.54648,1.10967,0.93262,0.72857,0.78088,0.43614,1.0385,0.62549,1.09329,0.000550056,0.000550056,0.000550056
53,1260.13,0.69226,0.5361,1.12274,0.72563,0.81689,0.76658,0.44548,1.04116,0.56875,1.09882,0.000539057,0.000539057,0.000539057
54,1277.62,0.6916,0.52666,1.12225,0.66268,0.74729,0.78782,0.46554,0.9251,0.57707,1.04493,0.000528058,0.000528058,0.000528058
55,1295.34,0.70215,0.5258,1.10579,0.7607,0.79286,0.81682,0.49497,0.85031,0.51523,0.99794,0.000517059,0.000517059,0.000517059
56,1313.14,0.67137,0.51309,1.08268,0.94091,0.72678,0.76836,0.46122,0.88709,0.52787,1.00069,0.00050606,0.00050606,0.00050606
57,1330.62,0.69732,0.52927,1.10435,0.9277,0.69223,0.74595,0.46429,0.8579,0.54795,0.99599,0.000495062,0.000495062,0.000495062
58,1348.44,0.67086,0.51921,1.10389,0.92463,0.71395,0.75117,0.48893,0.83529,0.51927,0.9701,0.000484063,0.000484063,0.000484063
59,1365.93,0.68895,0.51473,1.10672,0.92422,0.68737,0.7604,0.46713,0.87755,0.58171,1.01049,0.000473064,0.000473064,0.000473064
60,1383.73,0.66976,0.5101,1.09455,0.89318,0.71923,0.72157,0.47847,0.90266,0.57315,0.99634,0.000462065,0.000462065,0.000462065
61,1401.54,0.66379,0.51068,1.08863,0.65698,0.79286,0.74088,0.47099,0.90856,0.5588,1.007,0.000451066,0.000451066,0.000451066
62,1418.89,0.65249,0.50751,1.08296,0.95629,0.71429,0.75185,0.47361,0.87484,0.52266,0.98646,0.000440067,0.000440067,0.000440067
63,1436.48,0.6721,0.50712,1.10861,0.95988,0.69445,0.74692,0.48738,0.8784,0.53192,1.02272,0.000429068,0.000429068,0.000429068
